00012F,THE INFORMER
00015C,Q-BERT
00029E,MOONSWEEPER
000207,KNOW-IT-ALL
0001FB,DISK TUTORIAL
0000AC,DISK UTILITIES
00020F,PRINTER TUTORIAL
0000D8,LASER ATTACK
0001F3,MUMMY'S TOMB
000091,PING
0000CD,RENEGADE
0000C1,SCHMOZZLE
0001A4,UFO'S
0000B1,ZIPPER
00021A,EMBASSY CAPER
00021B,MURDER MANSION
0001F7,ZORK I
000208,ZORK TUTORIAL
00019B,B.C. TRIVIA
0000C3,BIORHYTHMS
0000A8,CHINESE HOROSCOPES
000040,HERBS AND SPICE 1
000041,HERBS AND SPICE 2
0000B2,METRIC CONVERTER
0000E8,MORTGAGE CALC
00013E,WINE WATCH
0000B0,WIZTYPE
000029,WIZTYPE TUTOR
0000B8,ALPHABLAST II
0001A5,BACKGAMMON
00021F,CHECKERS
0000D4,HEAVYWEIGHT BOXING
0001A6,MACBETH
0000D5,MR CHIN
0000AF,PINBALL
000093,ROULETTE
000035,SARGON II CHESS
000109,SUPER BILLIARDS
0001EF,SUPER BLOOPER
000105,TOURNAMENT POKER
000120,ANTARCTIC VENTURE
0001AB,AQUATTACK
000124,CIRCUS CHARLIE
000094,FLIP AND FLOP
00015B,HYPER SPORTS
000123,KIDDY PARK
00009A,MANIA
0000DF,MINER2049ER
00011E,QUEST FOR TIRES
0000BC,SKI SARAJEVO
00015D,SKI WHISTLER
000108,STEP UP
000122,TIME PILOT
000043,TRACK & FIELD 1
000121,TRACK & FIELD 2
00027A,WING WAR
00001B,ALPHA LAB (L)
0001F0,ANTONYM ANTICS
000213,CORRECT-IT
0001EC,DEFINITION
000231,FRENCH VERBS I
000232,FRENCH VERBS II
000233,FRENCH WORDS I
000234,FRENCH WORDS II
0001ED,GRAMMAR
0000DB,LEARNING LETTERS
000214,MAKE UP
000216,NOUNS
00010F,RUNES
00003F,PAINTPOT
0001BC,NABU BASIC
000131,NABU BASIC TUTOR
000013,LOGO
0000DA,LOGO ACTIVITY HELP
000042,LOGO REFERENCE
000125,COMPUTER GLOSSARY
000130,LOGO PREVIEW
000029,WIZTYPE TUTOR
0000B2,METRIC CONVERTER
0000E8,MORTGAGE CALC
00017C,MINERAL HUNT (L)
000176,O CANADA (L)
0000C6,PROVINCES (L)
000139,BEEVADERS (L)
000128,DARTS AND BALLOONS
0000D9,DEPOT
0000BE,ZOT!
00021A,EMBASSY CAPER
00021B,MURDER MANSION
0001F1,PARLOR POWER
0001EE,SHAKESPEARE
0001F7,ZORK I
000208,ZORK TUTORIAL
000027,CIRCUIT
000149,WHIZ MIND (L)
0000A4,WORD MASTERMIND
0000DE,WORD ROTATE
000021,ANGLE TANGLE (L)
0000CC,DECIMALS
0000D2,FRACTIONS
0000DC,LEARNING NUMBERS
000154,MATH ATTACK (L)
0001C9,MATH PUZZLE
0000DD,MATH QUIZ
0000B3,PERCENTAGES
0000D3,SHAPES
0001A7,B.C. MATCH UP
00019B,B.C. TRIVIA
000215,MIX-IT
00008E,INTERVALS
000136,KEYBOARD
000137,NOTES AND STAFF
000138,TONES & SEMITONES
000211,ATMOSPHERE
000210,ATOMS
000104,CAPACITORS
0000CB,METRIC CONVERSION
000100,MOTION AND FORCE
000101,MOTORCYCLE
000217,PLANETS
000102,RESISTORS
0001A5,BACKGAMMON
00021F,CHECKERS
0001A6,MACBETH
00014E,MAZE CRAZE (L)
000038,NIMBLE (L)
000035,SARGON II CHESS
0001BC,NABU BASIC
000131,NABU BASIC TUTOR
000218,NABU FILER
00021E,NABU FILER TUTOR
000125,COMPUTER GLOSSARY
0001BB,FANCY FONT TUTOR
0000B2,METRIC CONVERTER
0000E8,MORTGAGE CALC
0001BD,NABU CALC
0001BE,NABU CALC TUTOR
0001BF,NABU SPELLER
0001E8,NABU SPELLER TUTOR
0001E9,NABU WRITER
00003F,PAINTPOT
0000B0,WIZTYPE
000029,WIZTYPE TUTOR
000110,QA PAC-MAN
0001D0,QA DIG DUG
000153,QA GALAXIAN
0001F2,SPORTS STUMPER
0000A3,SKETCH
0001DC,C64 MENU
0001D3,MSXDIRECTORY
0000AA,NPC DISC
0000C2,PREAUTH
